OMB,OMB,NARA,NARA,OPM,OPM,Federal_Register,Federal_Register,ECFR,ECFR,regulations.gov,us_govt_manual,usa.gov,usaspending.gov,get.gov,get.gov,OMB-23-22,OMB-23-22,MySales,MySales,MySales,LDA,ACUS,ACUS,GAO,CISA
Department of Labor,Employee Benefits Security Administration    ,Department of Labor,Employment and Training Administration,DEPARTMENT OF LABOR DL,OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS DLCA,Labor Department,Employee Benefits Security Administration,"Labor, Department of",Employees' Compensation Appeals Board,,,,,Department of Labor,Mine Safety and Health Administration,Department of Labor,Employment and Training Administration (ETA) - Office of Apprenticeship,Office of Inspector General,16,4,,Department of Labor,Employment and Training Administration,,
Department of Labor,Employment and Training Administration    ,Department of Labor,Mine Safety and Health Administration,DEPARTMENT OF LABOR DL,OFFICE OF THE CHIEF FINANCIAL OFFICER DLCF,Labor Department,Employees Compensation Appeals Board,"Labor, Department of",Employment and Training Administration,,,,,Department of Labor,Office of the Assistant Secretary for Administration & Management,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Empoyee Benefits Security Adminstration,16,5,,Department of Labor,Mine Safety and Health Administration,,
Department of Labor,Mine Safety and Health Administration    ,Department of Labor,Occupational Safety and Health Administration,DEPARTMENT OF LABOR DL,OFFICE OF DISABILITY EMPLOYMENT POLICY DLEH,Labor Department,Employment and Training Administration,"Labor, Department of",Mine Safety and Health Administration,,,,,Department of Labor,Office of the Chief Information Officer,Department of Labor,Employment and Training Administration (ETA) - Office of Unemployment Insurance,Pension Benefit Guarantee Corporation,16,6,,Department of Labor,Occupational Safety and Health Administration,,
Department of Labor,Occupational Safety and Health Administration    ,Department of Labor,Office of Workers' Compensation Programs,DEPARTMENT OF LABOR DL,EMPLOYMENT STANDARDS ADMINISTRATION DLES,Labor Department,Employment Standards Administration,"Labor, Department of",Occupational Safety and Health Administration,,,,,,,Department of Labor,Employment Training Administration (ETA),Bureau of Labor Mgt Relation and Cooperative Programs,16,7,,Department of Labor,Office of Disability Employment Policy,,
Department of Labor,Office of Disability Employment policy    ,Department of Labor,Veterans' Employment and Training Service,DEPARTMENT OF LABOR DL,EMPLOYMENT AND TRAINING ADMINISTRATION DLET,Labor Department,Federal Contract Compliance Programs Office,"Labor, Department of",Office of Assistant Secretary for Veterans' Employment and Training Service,,,,,,,Department of Labor,Employment Training Administration (ETA) - Office of Foreign Labor Certification,Office of Labor Management Standards,16,8,,Department of Labor,Office of Federal Contract Compliance Programs,,
Department of Labor,Office of Federal Contract Compliance Programs    ,Department of Labor,Wage and Hour Division,DEPARTMENT OF LABOR DL,OFFICE OF THE INSPECTOR GENERAL DLIG,Labor Department,Labor Statistics Bureau,"Labor, Department of",Office of Federal Contract Compliance Programs,,,,,,,Department of Labor,Employment Training Administration (ETA) - Office of Unemployment Insurance,Bureau of International Labor Affairs,16,9,,Department of Labor,Office of Labor-Management Standards,,
Department of Labor,Office of Labor Management Standards    ,Department of Labor,Women's Bureau,DEPARTMENT OF LABOR DL,BUREAU OF LABOR STATISTICS DLLS,Labor Department,Labor-Management Standards Office,"Labor, Department of",Office of Labor-Management Standards,,,,,,,Department of Labor,Mine Safety & Health Administration,Office of the Chief Financial Officer,16,10,,Department of Labor,Office of Workers Compensation Programs,,
Department of Labor,Office of Workers' Compensation Programs    ,Department of Labor,,DEPARTMENT OF LABOR DL,MINE SAFETY AND HEALTH ADMINISTRATION DLMS,Labor Department,Mine Safety and Health Administration,"Labor, Department of",Office of Secretary of Labor,,,,,,,Department of Labor,Mine Safety and Health Administration,Labor-Management Services Administration (Exp. Code),16,11,,Department of Labor,Pension Benefit Guaranty Corporation,,
Department of Labor,Pension Benefit Guaranty Corporation    ,,,DEPARTMENT OF LABOR DL,OFFICE OF PUBLIC AFFAIRS DLPA,Labor Department,Occupational Safety and Health Administration,"Labor, Department of",Office of Workers' Compensation Programs,,,,,,,Department of Labor,Mine Safety and Health Administration - Replaced by egov.msha.gov and serves as a hot backup.,Office of Adjudicatory Services,16,12,,Department of Labor,Veterans' Employment and Training Service,,
Department of Labor,Veterans' Employment and Training Service    ,,,DEPARTMENT OF LABOR DL,OFFICE OF THE ASSISTANT SECRETARY FOR POLICY DLPE,Labor Department,Pension and Welfare Benefits Administration,"Labor, Department of",Wage and Hour Division,,,,,,,Department of Labor,Occupational Safety and Health Administration,Office of Public Affairs National Call Center,16,13,,Department of Labor,Wage and Hour Division,,
Department of Labor,Wage and Hour Division    ,,,DEPARTMENT OF LABOR DL,EMPLOYEE BENEFITS SECURITY ADMINISTRATION DLPW,Labor Department,Veterans Employment and Training Service,,,,,,,,,Department of Labor,Office of Disability Employment Policy,Occupational Safety and Health Administration,16,14,,Department of Labor,Women's Bureau,,
,,,,DEPARTMENT OF LABOR DL,OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION DLSH,Labor Department,Wage and Hour Division,,,,,,,,,Department of Labor,Office of Federal Contract Compliance Programs,Bureau of Labor Statistics,16,15,,Department of Labor,,,
,,,,DEPARTMENT OF LABOR DL,OFFICE OF THE SOLICITOR DLSL,Labor Department,Workers' Compensation Programs Office,,,,,,,,,Department of Labor,Office of Inspector General,Employment and Training Administration,16,16,,,,,
,,,,DEPARTMENT OF LABOR DL,VETERANS EMPLOYMENT AND TRAINING SERVICES DLVE,,,,,,,,,,,Department of Labor,Office of Public Affairs,Office of the Secretary of Labor,16,17,,,,,
,,,,DEPARTMENT OF LABOR DL,WOMEN'S BUREAU DLWB,,,,,,,,,,,Department of Labor,"Office of the Assistant Secretary for Administration and Management, For federal employees and contractors.",Employment Standards Administration,16,18,,,,,
,,,,,,,,,,,,,,,,Department of Labor,Office of the Assistant Secretary for Policy,Office of the Solicitor,16,19,,,,,
,,,,,,,,,,,,,,,,Department of Labor,Office of the Chief Information Officer,Veterans Employment and Training Service,16,20,,,,,
,,,,,,,,,,,,,,,,Department of Labor,Office of Workers' Compensation Programs,,,,,,,,
,,,,,,,,,,,,,,,,Department of Labor,Office of Workers' Compsenation Programs,Office of Public Affairs,16,21,,,,,
,,,,,,,,,,,,,,,,Department of Labor,Pension Benefit Guaranty Corporation,Office of Congressional & Intergovernmental Affairs,16,22,,,,,
,,,,,,,,,,,,,,,,Department of Labor,Veterans' Employment and Training Service,Office of the Assistant Secretary for Policy,16,23,,,,,
,,,,,,,,,,,,,,,,Department of Labor,Wage and Hour Division,Women's Bureau,16,24,,,,,
,,,,,,,,,,,,,,,,,,Benefits Review Board,16,25,,,,,
,,,,,,,,,,,,,,,,,,Employees Compensation Appeals Board,16,26,,,,,
,,,,,,,,,,,,,,,,,,Administrative Review Board,16,27,,,,,
,,,,,,,,,,,,,,,,,,Office of Financial and Management Service,16,28,,,,,
,,,,,,,,,,,,,,,,,,Administrative Law Judges,16,29,,,,,
,,,,,,,,,,,,,,,,,,Office of Workmans' Compensation Programs,16,30,,,,,
,,,,,,,,,,,,,,,,,,Wage and Hour Division,16,31,,,,,
,,,,,,,,,,,,,,,,,,Office of Federal Contract Compliance Programs,16,32,,,,,
,,,,,,,,,,,,,,,,,,Bureau of Apprenticeship and Training,16,33,,,,,
,,,,,,,,,,,,,,,,,,Office of Job Corps,16,34,,,,,
,,,,,,,,,,,,,,,,,,"Mine Safety and Health Administration, Office of the Assistant Secretary",16,35,,,,,
,,,,,,,,,,,,,,,,,,"Mine Safety and Health Administration, Administration and Management",16,36,,,,,
,,,,,,,,,,,,,,,,,,"Mine Safety and Health Administration, Office of Assessments",16,37,,,,,
,,,,,,,,,,,,,,,,,,"Mine Safety and Health Administration, Coal Mine Safety and Health",16,38,,,,,
,,,,,,,,,,,,,,,,,,"Mine Safety and Health Administration, Metal and NonMetal Mine Safety and Health",16,39,,,,,
,,,,,,,,,,,,,,,,,,"Mine Safety and Health Administration, Educational Policy and Development",16,40,,,,,
,,,,,,,,,,,,,,,,,,"Mine Safety and Health Administration, Office of Standards, Regulations, and Variances",16,41,,,,,
,,,,,,,,,,,,,,,,,,"Mine Safety and Health Administration, Technical Support",16,42,,,,,
,,,,,,,,,,,,,,,,,,Office of Small Business Programs,16,43,,,,,
,,,,,,,,,,,,,,,,,,DOL Enterprise Services Office,16,44,,,,,
,,,,,,,,,,,,,,,,,,DOL Working Capital Funds Components,16,45,,,,,
,,,,,,,,,,,,,,,,,,DOL OASAM Consolidated Services,16,46,,,,,
,,,,,,,,,,,,,,,,,,Anti-Poverty Programs (FSS use only),16,49,,,,,
,,,,,,,,,,,,,,,,,,Government Contractors (Exp. Code - Use Code 1699),16,51,,,,,
,,,,,,,,,,,,,,,,,,National Skills Standards Board,16,52,,,,,
,,,,,,,,,,,,,,,,,,National Occupational Information Coordinating Committee,16,53,,,,,
,,,,,,,,,,,,,,,,,,President's Committee on Employment of People with Disabilities,16,54,,,,,
,,,,,,,,,,,,,,,,,,National Task Force on Employment of Adults with Disabilities,16,55,,,,,
,,,,,,,,,,,,,,,,,,Department of Labor/Job Corps Program,16,75,,,,,
,,,,,,,,,,,,,,,,,,"Employment and Training Administration, Job Corps Centers",16,80,,,,,
Department of State,Administration of Foreign Affairs    ,Department of State,,DEPARTMENT OF STATE ST,DEPARTMENT OF STATE ST00,State Department,,"State, Department of",--,U.S. Department of State,Department of State,U.S. Department of State,Department of State,Department of State,Bureau of Diplomatic Security (DS),Department of State,Bureau of Consular Affairs,Department of State,19,0,"State, Dept of (DOS)",Department of State,United States Agency for International Development,Department of State,Department of State
Department of State,"Department of State    , ",,,,,,,,,,,,,Department of State,Bureau of East Asian and Pacific Affairs (EAP),Department of State,Bureau of Diplomatic Security (DS),Bureau of Administration,19,1,,Department of State,,,
Department of State,International Commissions    ,,,,,,,,,,,,,Department of State,Bureau of Global Public Affairs (GPA),Department of State,Bureau of East Asian and Pacific Affairs (EAP),Office of the Under Secretary for Management,19,2,,,,,
Department of State,International Organizations and Conferences    ,,,,,,,,,,,,,Department of State,Bureau of Information Resources Management (IRM),Department of State,Bureau of Global Public Affairs (GPA),African Affairs,19,3,,,,,
Department of State,Other    ,,,,,,,,,,,,,Department of State,Bureau of Western Hemisphere Affairs (WHA),Department of State,Bureau of Global Talent Management (GTM),Politico - Military Affairs,19,4,,,,,
,,,,,,,,,,,,,,Department of State,Foreign Service Grievance Board (S/FSGB),Department of State,Bureau of Information Resources Management (IRM),Economic Affairs and Business Affairs,19,5,,,,,
,,,,,,,,,,,,,,Department of State,Office of the Inspector General,Department of State,Bureau of Overseas Buildings Operations (OBO),Cuban Haitian Task Force,19,6,,,,,
,,,,,,,,,,,,,,Department of State,U.S. - ASEAN Connect,Department of State,Bureau of Western Hemisphere Affairs (WHA),European Affairs,19,7,,,,,
,,,,,,,,,,,,,,,,Department of State,Foreign Service Grievance Board (S/FSGB),Bureau of International Narcotics Matters,19,8,,,,,
,,,,,,,,,,,,,,,,Department of State,National Museum of American Diplomacy (R/PPR/NMAD),East Asian and Pacific Affairs,19,9,,,,,
,,,,,,,,,,,,,,,,Department of State,"Office of the Historian, Foreign Service Institute (FSI/OH)",Multinational Force and Observers,19,10,,,,,
,,,,,,,,,,,,,,,,Department of State,Office of the Inspector General,Intelligence and Research,19,11,,,,,
,,,,,,,,,,,,,,,,Department of State,"Under Secretary for Management, Office of Fine Arts (M/FA)",Bureau of Refugee Programs,19,12,,,,,
,,,,,,,,,,,,,,,,,,Inter-American Affairs,19,13,,,,,
,,,,,,,,,,,,,,,,,,"International Boundary and Water Commission, U.S. and Mexico",19,15,,,,,
,,,,,,,,,,,,,,,,,,"International Boundary Commission, U.S. and Canada",19,17,,,,,
,,,,,,,,,,,,,,,,,,"International Joint Commission, U.S. and Canada",19,19,,,,,
,,,,,,,,,,,,,,,,,,International Organization Affairs,19,21,,,,,
,,,,,,,,,,,,,,,,,,Ocean and International Environmental Scientific Affairs,19,22,,,,,
,,,,,,,,,,,,,,,,,,Near Eastern and South Asian Affairs,19,23,,,,,
,,,,,,,,,,,,,,,,,,Human Rights and Humanitarian Affairs,19,24,,,,,
,,,,,,,,,,,,,,,,,,Public Affairs,19,25,,,,,
,,,,,,,,,,,,,,,,,,Office of the Secretary,19,27,,,,,
,,,,,,,,,,,,,,,,,,Information Systems Office,19,28,,,,,
,,,,,,,,,,,,,,,,,,Consular Affairs,19,29,,,,,
,,,,,,,,,,,,,,,,,,Office of Foreign Missions,19,30,,,,,
,,,,,,,,,,,,,,,,,,United States Mission to the United Nations,19,31,,,,,
,,,,,,,,,,,,,,,,,,Office of Communications,19,34,,,,,
,,,,,,,,,,,,,,,,,,Deputy Assistant Secretary for Budget and Finance,19,35,,,,,
,,,,,,,,,,,,,,,,,,Office of Foreign Buildings,19,36,,,,,
,,,,,,,,,,,,,,,,,,Foreign Service Institute,19,37,,,,,
,,,,,,,,,,,,,,,,,,Inspector General,19,38,,,,,
,,,,,,,,,,,,,,,,,,Legal Adviser,19,39,,,,,
,,,,,,,,,,,,,,,,,,Office of Management,19,40,,,,,
,,,,,,,,,,,,,,,,,,Deputy Assistant Secretary for Operations,19,41,,,,,
,,,,,,,,,,,,,,,,,,Bureau of Personnel,19,42,,,,,
,,,,,,,,,,,,,,,,,,Deputy Assistant Secretary for Security,19,43,,,,,
,,,,,,,,,,,,,,,,,,No Bureau Identification,19,49,,,,,
,,,,,,,,,,,,,,,,,,Diplomatic Telecommunications Service - Program Office,19,61,,,,,
Department of the Interior,Bureau of Indian Affairs    ,Department of the Interior,Bureau of Indian Affairs,DEPARTMENT OF THE INTERIOR IN,OFFICE OF THE SECRETARY OF THE INTERIOR IN01,Interior Department,,"Interior, Department of",--,Department of the Interior,Department of the Interior,U.S. Department of the Interior,Department of the Interior,Department of the Interior,Advisory Committee on Water Information,Department of the Interior,Advisory Committee on Water Information,Department of the Interior,14,0,"Interior, Dept of (DOI)",Department of the Interior,Bureau of Indian Affairs,Department of the Interior,Department of the Interior
Department of the Interior,Bureau of Indian Education    ,Department of the Interior,Bureau of Indian Education,DEPARTMENT OF THE INTERIOR IN,BUREAU OF LAND MANAGEMENT IN05,Interior Department,Fish and Wildlife Service,"Interior, Department of",Bureau of Indian Affairs,,,,,Department of the Interior,Aquatic Nuisance Species Task Force,Department of the Interior,Aviation Management Directorate,Office of Surface Mining and Regulation Enforcement,14,6,,Department of the Interior,Bureau of Land Management,,
Department of the Interior,Bureau of Land Management    ,Department of the Interior,Bureau of Land Management,DEPARTMENT OF THE INTERIOR IN,INDIAN AFFAIRS IN06,Interior Department,Geological Survey,"Interior, Department of",Bureau of Land Management,,,,,Department of the Interior,Aviation Management Directorate,Department of the Interior,Bureau of Indian Affairs,Geological Survey,14,7,,Department of the Interior,Bureau of Ocean Energy Management,,
Department of the Interior,Bureau of Ocean Energy Management    ,Department of the Interior,Bureau of Ocean Energy Management,DEPARTMENT OF THE INTERIOR IN,BUREAU OF RECLAMATION IN07,Interior Department,"Hearings and Appeals Office, Interior Department","Interior, Department of",Bureau of Ocean Energy Management,,,,,Department of the Interior,Bureau of Indian Affairs,Department of the Interior,Bureau of Indian Education,Office of Hearing and Appeals,14,8,,Department of the Interior,Bureau of Reclamation,,
